change_id,change_date,citizen_id,reason_code,score_delta,recorded_by_officer_id
CH-0002945,2026-02-02,PR-00035,HE-050,8,OFC-214
CH-0002946,2026-04-05,PR-01656,HE-050,8,OFC-149
CH-0002947,2026-05-11,PR-02278,CV-020,14,OFC-160
CH-0002948,2026-06-05,PR-01275,CV-002,-24,OFC-152
CH-0002949,2026-02-01,PR-01513,NW-071,-20,OFC-107
CH-0002950,2026-04-03,PR-00079,SC-013,-76,OFC-207
CH-0002951,2026-05-10,PR-00048,FN-041,-10,OFC-163
CH-0002952,2026-06-20,PR-02592,SC-011,-43,OFC-206
CH-0002953,2026-05-01,PR-02919,SC-013,-75,OFC-157
CH-0002954,2026-03-28,PR-02110,SC-011,-41,OFC-204
CH-0002955,2026-03-22,PR-01278,SR-101,-40,OFC-215
CH-0002956,2026-06-29,PR-01092,EM-030,7,OFC-106
CH-0002957,2026-06-21,PR-02473,CV-021,-50,OFC-202
CH-0002958,2026-06-27,PR-02446,SR-101,-35,OFC-114
CH-0002959,2026-01-18,PR-02194,SC-010,9,OFC-183
CH-0002960,2026-06-28,PR-01021,EM-031,-21,OFC-157
CH-0002961,2026-05-18,PR-01663,CV-021,-48,OFC-128
CH-0002962,2026-05-28,PR-02985,TR-062,7,OFC-237
CH-0002963,2026-06-09,PR-02985,CL-091,19,OFC-225
CH-0002964,2026-05-11,PR-01259,HE-051,-16,OFC-159
CH-0002965,2026-01-05,PR-01434,HE-050,8,OFC-179
CH-0002966,2026-05-16,PR-01446,TR-060,0,OFC-249
CH-0002967,2026-03-04,PR-01319,SR-100,-53,OFC-159
CH-0002968,2026-02-05,PR-02678,SC-010,11,OFC-231
CH-0002969,2026-03-01,PR-02388,SC-011,-37,OFC-245
CH-0002970,2026-01-17,PR-01166,CV-002,-25,OFC-119
CH-0002971,2026-04-10,PR-02527,TR-061,-44,OFC-241
CH-0002972,2026-02-24,PR-02093,TR-060,-2,OFC-157
CH-0002973,2026-06-24,PR-00987,NW-072,-8,OFC-148
CH-0002974,2026-04-12,PR-02149,NW-071,-20,OFC-213
CH-0002975,2026-03-16,PR-01211,HE-050,6,OFC-158
CH-0002976,2026-03-28,PR-01541,CV-003,-63,OFC-158
CH-0002977,2026-05-31,PR-02667,FN-040,1,OFC-142
CH-0002978,2026-04-27,PR-02122,EM-031,-23,OFC-139
CH-0002979,2026-06-27,PR-01910,TR-060,0,OFC-102
CH-0002980,2026-02-23,PR-02794,CL-090,-12,OFC-136
CH-0002981,2026-05-19,PR-02763,CV-002,-23,OFC-157
CH-0002982,2026-03-20,PR-00471,NW-071,-19,OFC-234
CH-0002983,2026-05-20,PR-02647,SR-101,-36,OFC-188
CH-0002984,2026-02-24,PR-02281,EM-031,-19,OFC-103
CH-0002985,2026-05-11,PR-00688,PR-111,-31,OFC-249
CH-0002986,2026-04-08,PR-00027,TR-060,1,OFC-244
CH-0002987,2026-03-25,PR-00430,EM-030,13,OFC-147
CH-0002988,2026-06-02,PR-02921,CL-090,-9,OFC-188
CH-0002989,2026-01-30,PR-00113,NW-070,18,OFC-195
CH-0002990,2026-02-10,PR-00387,NW-070,15,OFC-139
CH-0002991,2026-05-07,PR-01281,TR-062,5,OFC-111
CH-0002992,2026-01-11,PR-01550,TR-060,0,OFC-228
CH-0002993,2026-04-09,PR-01623,HE-050,6,OFC-183
CH-0002994,2026-05-10,PR-00090,EM-031,-23,OFC-113
CH-0002995,2026-06-16,PR-02055,CL-090,-15,OFC-143
CH-0002996,2026-03-23,PR-01668,EM-031,-17,OFC-121
CH-0002997,2026-05-21,PR-00241,SR-101,-36,OFC-184
CH-0002998,2026-01-05,PR-00507,CL-091,15,OFC-202
CH-0002999,2026-02-07,PR-00725,EM-030,11,OFC-151
CH-0003000,2026-03-22,PR-01030,CV-001,5,OFC-178
CH-0003001,2026-03-02,PR-02471,TR-062,7,OFC-146
CH-0003002,2026-03-20,PR-00310,AP-080,38,OFC-177
CH-0003003,2026-05-02,PR-01604,AP-081,-4,OFC-123
CH-0003004,2026-04-22,PR-02435,NW-070,12,OFC-200
CH-0003005,2026-06-27,PR-01356,NW-071,-20,OFC-112
CH-0003006,2026-02-25,PR-00294,EM-031,-19,OFC-177
CH-0003007,2026-06-01,PR-00622,NW-071,-21,OFC-151
CH-0003008,2026-03-23,PR-00969,SR-101,-41,OFC-173
CH-0003009,2026-05-02,PR-01068,HE-050,7,OFC-144
CH-0003010,2026-03-04,PR-01556,CV-021,-50,OFC-130
CH-0003011,2026-02-08,PR-02997,TR-062,7,OFC-125
CH-0003012,2026-01-10,PR-01167,CL-090,-10,OFC-103
CH-0003013,2026-02-23,PR-01143,CL-090,-14,OFC-183
CH-0003014,2026-03-06,PR-02990,CV-021,-52,OFC-185
CH-0003015,2026-01-22,PR-01915,EM-031,-22,OFC-222
CH-0003016,2026-03-25,PR-02299,SC-012,-17,OFC-239
CH-0003017,2026-01-16,PR-01350,SR-101,-38,OFC-245
CH-0003018,2026-03-17,PR-00586,SR-101,-41,OFC-191
CH-0003019,2026-04-24,PR-02792,PR-110,2,OFC-246
CH-0003020,2026-04-21,PR-01164,AP-080,37,OFC-167
CH-0003021,2026-03-07,PR-02834,EM-031,-17,OFC-241
CH-0003022,2026-03-15,PR-00156,NW-071,-25,OFC-110
CH-0003023,2026-04-11,PR-02032,PR-111,-26,OFC-227
CH-0003024,2026-01-28,PR-02583,SR-102,9,OFC-129
CH-0003025,2026-03-20,PR-02634,NW-072,-8,OFC-106
CH-0003026,2026-05-03,PR-01928,SC-010,6,OFC-223
CH-0003027,2026-06-03,PR-02647,FN-041,-6,OFC-248
CH-0003028,2026-02-09,PR-00684,CL-091,17,OFC-147
CH-0003029,2026-04-04,PR-02579,NW-072,-9,OFC-160
CH-0003030,2026-06-23,PR-02699,EM-030,7,OFC-155
CH-0003031,2026-04-16,PR-01541,CL-090,-11,OFC-208
CH-0003032,2026-04-14,PR-02721,NW-072,-10,OFC-140
CH-0003033,2026-03-16,PR-01039,AP-081,-7,OFC-107
CH-0003034,2026-01-17,PR-00937,CV-003,-63,OFC-171
CH-0003035,2026-06-12,PR-02976,CV-020,10,OFC-211
CH-0003036,2026-03-09,PR-02761,PR-111,-25,OFC-205
CH-0003037,2026-04-10,PR-01347,PR-110,2,OFC-126
CH-0003038,2026-05-13,PR-01569,NW-072,-10,OFC-222
CH-0003039,2026-03-22,PR-00792,NW-071,-22,OFC-164
CH-0003040,2026-05-21,PR-01669,SC-011,-39,OFC-190
CH-0003041,2026-01-10,PR-02757,HE-051,-15,OFC-180
CH-0003042,2026-03-06,PR-01694,CV-002,-22,OFC-217
CH-0003043,2026-06-05,PR-01549,AP-081,-5,OFC-214
CH-0003044,2026-04-20,PR-02423,TR-060,-1,OFC-243
CH-0003045,2026-02-15,PR-01762,TR-061,-47,OFC-139
CH-0003046,2026-06-29,PR-01021,EM-030,12,OFC-250
CH-0003047,2026-03-09,PR-01213,PR-111,-29,OFC-151
CH-0003048,2026-06-13,PR-00711,CV-021,-53,OFC-143
CH-0003049,2026-05-31,PR-02229,EM-030,8,OFC-235
CH-0003050,2026-06-16,PR-00691,NW-070,13,OFC-102
CH-0003051,2026-05-19,PR-01424,HE-050,4,OFC-147
CH-0003052,2026-05-30,PR-02147,HE-051,-19,OFC-179
CH-0003053,2026-02-07,PR-02726,FN-041,-11,OFC-216
CH-0003054,2026-03-01,PR-00177,SC-011,-40,OFC-157
CH-0003055,2026-02-15,PR-01461,TR-060,-1,OFC-218
CH-0003056,2026-04-15,PR-01095,SC-010,5,OFC-176
CH-0003057,2026-05-27,PR-00961,EM-031,-20,OFC-136
CH-0003058,2026-01-15,PR-00209,NW-072,-9,OFC-227
CH-0003059,2026-04-19,PR-00745,SC-010,9,OFC-104
CH-0003060,2026-04-20,PR-02499,TR-062,5,OFC-226
CH-0003061,2026-06-27,PR-00828,TR-062,7,OFC-201
CH-0003062,2026-06-16,PR-01011,SC-011,-40,OFC-137
CH-0003063,2026-01-27,PR-00787,CL-091,20,OFC-199
CH-0003064,2026-04-15,PR-02783,EM-030,10,OFC-110
CH-0003065,2026-02-03,PR-01602,AP-080,36,OFC-126
CH-0003066,2026-02-09,PR-02723,EM-031,-18,OFC-228
CH-0003067,2026-01-25,PR-00037,SR-100,-54,OFC-149
CH-0003068,2026-06-17,PR-01156,AP-081,-6,OFC-154
CH-0003069,2026-02-26,PR-01049,AP-081,-7,OFC-159
CH-0003070,2026-05-16,PR-00461,EM-031,-18,OFC-250
CH-0003071,2026-05-19,PR-02341,SC-013,-78,OFC-180
CH-0003072,2026-04-03,PR-02963,SR-102,7,OFC-127
CH-0003073,2026-02-13,PR-02642,FN-041,-11,OFC-100
CH-0003074,2026-04-20,PR-00071,TR-061,-44,OFC-158
CH-0003075,2026-04-16,PR-01210,SC-010,10,OFC-241
CH-0003076,2026-06-08,PR-00665,PR-111,-25,OFC-217
CH-0003077,2026-06-11,PR-02817,FN-040,6,OFC-104
CH-0003078,2026-05-23,PR-00628,AP-081,-6,OFC-197
CH-0003079,2026-01-26,PR-00984,AP-080,38,OFC-242
CH-0003080,2026-02-19,PR-02844,NW-071,-24,OFC-215
CH-0003081,2026-02-15,PR-00072,SR-102,8,OFC-134
CH-0003082,2026-05-02,PR-01150,TR-060,0,OFC-186
CH-0003083,2026-03-09,PR-02196,NW-072,-12,OFC-243
CH-0003084,2026-04-09,PR-00463,EM-030,11,OFC-179
CH-0003085,2026-02-09,PR-01394,CL-091,20,OFC-175
CH-0003086,2026-06-04,PR-00016,TR-060,-3,OFC-250
CH-0003087,2026-01-15,PR-01695,NW-071,-20,OFC-147
CH-0003088,2026-04-28,PR-00594,SC-012,-13,OFC-108
CH-0003089,2026-03-15,PR-00843,CV-002,-26,OFC-146
CH-0003090,2026-03-27,PR-02502,SC-011,-40,OFC-214
CH-0003091,2026-05-06,PR-00774,CV-020,12,OFC-120
CH-0003092,2026-03-02,PR-01770,NW-071,-19,OFC-125
CH-0003093,2026-03-07,PR-01599,CV-021,-53,OFC-147
CH-0003094,2026-05-15,PR-01651,AP-081,-7,OFC-120
CH-0003095,2026-02-23,PR-01704,TR-060,-3,OFC-128
CH-0003096,2026-04-24,PR-02248,HE-050,4,OFC-143
CH-0003097,2026-05-28,PR-00427,CV-001,5,OFC-193
CH-0003098,2026-04-14,PR-02505,PR-111,-25,OFC-174
CH-0003099,2026-04-20,PR-01499,AP-080,37,OFC-115
CH-0003100,2026-01-17,PR-02664,FN-041,-11,OFC-197
CH-0003101,2026-06-19,PR-01284,SR-101,-37,OFC-194
CH-0003102,2026-03-24,PR-01901,SC-011,-43,OFC-117
CH-0003103,2026-05-04,PR-02098,NW-070,12,OFC-234
CH-0003104,2026-06-10,PR-01764,PR-111,-26,OFC-237
CH-0003105,2026-01-06,PR-01838,SC-013,-76,OFC-174
CH-0003106,2026-06-13,PR-00280,SC-010,8,OFC-216
CH-0003107,2026-04-07,PR-02738,CV-021,-47,OFC-190
CH-0003108,2026-03-08,PR-01547,HE-051,-17,OFC-211
CH-0003109,2026-04-18,PR-01265,AP-080,38,OFC-147
CH-0003110,2026-05-13,PR-01806,CL-091,18,OFC-209
CH-0003111,2026-02-22,PR-01296,SR-102,6,OFC-229
CH-0003112,2026-01-20,PR-01540,NW-071,-22,OFC-212
CH-0003113,2026-06-26,PR-02527,SC-012,-16,OFC-134
CH-0003114,2026-04-18,PR-01738,SC-012,-16,OFC-175
CH-0003115,2026-03-21,PR-00044,SR-101,-35,OFC-193
CH-0003116,2026-05-17,PR-02742,NW-072,-12,OFC-223
CH-0003117,2026-03-24,PR-00154,NW-072,-10,OFC-137
CH-0003118,2026-06-29,PR-00232,TR-060,-1,OFC-172
CH-0003119,2026-04-17,PR-01108,CV-021,-47,OFC-156
CH-0003120,2026-01-05,PR-01951,SR-101,-41,OFC-126
CH-0003121,2026-06-08,PR-00629,SC-013,-73,OFC-127
CH-0003122,2026-05-05,PR-01546,SR-102,5,OFC-112
CH-0003123,2026-06-13,PR-00976,TR-061,-47,OFC-100
CH-0003124,2026-04-15,PR-01867,TR-062,1,OFC-103
CH-0003125,2026-01-23,PR-01045,PR-111,-31,OFC-160
CH-0003126,2026-03-08,PR-00093,FN-040,1,OFC-123
CH-0003127,2026-06-26,PR-01517,CV-021,-47,OFC-183
CH-0003128,2026-02-10,PR-02823,HE-051,-19,OFC-107
CH-0003129,2026-02-20,PR-00890,CV-021,-48,OFC-182
CH-0003130,2026-01-04,PR-02425,SR-100,-52,OFC-123
CH-0003131,2026-04-24,PR-02090,CV-003,-60,OFC-135
CH-0003132,2026-06-03,PR-01215,EM-031,-17,OFC-203
CH-0003133,2026-04-26,PR-01724,AP-080,35,OFC-218
CH-0003134,2026-06-20,PR-02715,PR-111,-28,OFC-188
CH-0003135,2026-03-22,PR-02368,NW-072,-11,OFC-131
CH-0003136,2026-03-09,PR-00304,NW-070,13,OFC-120
CH-0003137,2026-04-26,PR-00118,FN-041,-8,OFC-125
CH-0003138,2026-06-08,PR-01334,TR-060,0,OFC-203
CH-0003139,2026-03-21,PR-02526,NW-072,-8,OFC-224
CH-0003140,2026-01-04,PR-01759,FN-040,1,OFC-119
CH-0003141,2026-04-07,PR-01666,FN-041,-9,OFC-195
CH-0003142,2026-05-10,PR-02834,SR-102,4,OFC-122
CH-0003143,2026-01-06,PR-00017,HE-050,8,OFC-154
CH-0003144,2026-03-05,PR-00423,CV-020,15,OFC-114
CH-0003145,2026-02-20,PR-00663,NW-070,14,OFC-217
CH-0003146,2026-02-27,PR-01584,NW-070,14,OFC-237
CH-0003147,2026-04-06,PR-00948,SC-013,-75,OFC-163
CH-0003148,2026-05-14,PR-02454,SC-012,-13,OFC-235
CH-0003149,2026-06-24,PR-01274,CV-021,-51,OFC-193
CH-0003150,2026-01-14,PR-01775,CV-021,-48,OFC-193
CH-0003151,2026-01-06,PR-00208,CV-002,-26,OFC-191
CH-0003152,2026-03-22,PR-00498,SC-011,-39,OFC-206
CH-0003153,2026-04-04,PR-00329,NW-072,-13,OFC-190
CH-0003154,2026-01-16,PR-02302,HE-051,-17,OFC-199
CH-0003155,2026-04-06,PR-01022,TR-061,-48,OFC-241
CH-0003156,2026-03-03,PR-01546,TR-062,3,OFC-240
CH-0003157,2026-02-11,PR-01257,EM-031,-17,OFC-131
CH-0003158,2026-01-02,PR-00797,CV-020,13,OFC-210
CH-0003159,2026-06-08,PR-01017,CV-020,9,OFC-249
CH-0003160,2026-02-09,PR-02966,CV-021,-49,OFC-172
CH-0003161,2026-04-18,PR-01921,CV-003,-62,OFC-136
CH-0003162,2026-04-23,PR-01359,NW-070,14,OFC-110
CH-0003163,2026-05-09,PR-00212,SC-011,-38,OFC-140
CH-0003164,2026-04-16,PR-00123,CV-001,7,OFC-101
CH-0003165,2026-06-12,PR-02390,NW-072,-11,OFC-183
CH-0003166,2026-01-24,PR-02659,SR-102,4,OFC-165
CH-0003167,2026-06-01,PR-00454,AP-080,38,OFC-147
CH-0003168,2026-04-23,PR-00055,SR-101,-36,OFC-145
CH-0003169,2026-04-14,PR-01505,CL-091,19,OFC-216
CH-0003170,2026-02-26,PR-01210,EM-031,-17,OFC-109
CH-0003171,2026-05-03,PR-02136,SR-100,-52,OFC-178
CH-0003172,2026-01-04,PR-01048,TR-060,2,OFC-206
CH-0003173,2026-03-02,PR-00408,CV-021,-47,OFC-135
CH-0003174,2026-04-24,PR-02278,CL-090,-15,OFC-159
CH-0003175,2026-01-14,PR-01364,FN-040,6,OFC-144
CH-0003176,2026-06-19,PR-02020,EM-031,-20,OFC-229
CH-0003177,2026-01-07,PR-02852,SC-013,-72,OFC-178
CH-0003178,2026-06-02,PR-01534,TR-061,-43,OFC-224
CH-0003179,2026-05-02,PR-02765,SR-100,-56,OFC-244
CH-0003180,2026-03-27,PR-01595,TR-060,0,OFC-194
CH-0003181,2026-02-24,PR-02815,HE-050,4,OFC-128
CH-0003182,2026-06-22,PR-00977,TR-060,1,OFC-228
CH-0003183,2026-04-06,PR-00266,SC-012,-16,OFC-114
CH-0003184,2026-05-25,PR-02147,SC-011,-40,OFC-159
CH-0003185,2026-04-22,PR-02482,HE-050,7,OFC-135
CH-0003186,2026-01-03,PR-02291,SR-102,8,OFC-146
CH-0003187,2026-02-25,PR-02249,CL-091,15,OFC-100
CH-0003188,2026-05-18,PR-01902,NW-072,-12,OFC-221
CH-0003189,2026-04-18,PR-01193,AP-080,37,OFC-103
CH-0003190,2026-05-26,PR-00596,EM-031,-19,OFC-230
CH-0003191,2026-04-13,PR-01634,CL-090,-11,OFC-177
CH-0003192,2026-03-23,PR-02041,CV-001,6,OFC-218
CH-0003193,2026-03-11,PR-02317,CV-020,14,OFC-211
CH-0003194,2026-02-12,PR-02122,SC-013,-76,OFC-157
CH-0003195,2026-05-24,PR-01525,CV-020,10,OFC-155
CH-0003196,2026-06-22,PR-01188,NW-071,-25,OFC-199
CH-0003197,2026-06-17,PR-00517,CV-001,7,OFC-239
CH-0003198,2026-06-30,PR-02719,CV-021,-48,OFC-108
CH-0003199,2026-04-08,PR-01296,CV-002,-27,OFC-130
CH-0003200,2026-05-12,PR-02254,CL-090,-13,OFC-120
CH-0003201,2026-04-14,PR-00419,FN-041,-10,OFC-242
CH-0003202,2026-05-16,PR-02229,SR-101,-40,OFC-178
CH-0003203,2026-01-30,PR-01334,HE-051,-19,OFC-121
CH-0003204,2026-02-24,PR-01574,CL-090,-9,OFC-112
CH-0003205,2026-03-24,PR-02583,EM-030,8,OFC-193
CH-0003206,2026-01-05,PR-00183,CV-003,-59,OFC-167
CH-0003207,2026-05-24,PR-02379,EM-030,7,OFC-181
CH-0003208,2026-04-08,PR-00114,SC-012,-15,OFC-165
CH-0003209,2026-05-15,PR-01725,NW-071,-21,OFC-190
CH-0003210,2026-03-09,PR-01131,SC-013,-73,OFC-143
CH-0003211,2026-05-11,PR-02168,PR-110,5,OFC-241
CH-0003212,2026-05-19,PR-01628,CV-002,-23,OFC-199
CH-0003213,2026-01-27,PR-01617,HE-050,8,OFC-136
CH-0003214,2026-02-07,PR-02958,TR-060,1,OFC-123
CH-0003215,2026-06-19,PR-01745,CV-021,-50,OFC-156
CH-0003216,2026-04-28,PR-00764,SR-101,-39,OFC-109
CH-0003217,2026-04-21,PR-02616,SC-012,-12,OFC-121
CH-0003218,2026-03-30,PR-01987,HE-050,3,OFC-168
CH-0003219,2026-01-07,PR-02917,SR-101,-36,OFC-211
CH-0003220,2026-03-13,PR-01927,CV-001,5,OFC-100
CH-0003221,2026-03-16,PR-01760,CV-020,9,OFC-106
CH-0003222,2026-01-20,PR-02894,CV-001,3,OFC-108
CH-0003223,2026-03-01,PR-01300,AP-081,-3,OFC-146
CH-0003224,2026-04-23,PR-02141,AP-080,34,OFC-126
CH-0003225,2026-02-09,PR-01875,CL-090,-11,OFC-112
CH-0003226,2026-06-04,PR-01500,HE-051,-19,OFC-213
CH-0003227,2026-04-06,PR-00016,HE-051,-19,OFC-227
CH-0003228,2026-05-21,PR-00561,CL-091,19,OFC-151
CH-0003229,2026-04-07,PR-01784,TR-062,4,OFC-178
CH-0003230,2026-01-15,PR-00244,NW-071,-21,OFC-248
CH-0003231,2026-03-12,PR-00509,FN-040,5,OFC-171
CH-0003232,2026-01-18,PR-02664,SR-100,-56,OFC-155
CH-0003233,2026-06-21,PR-02400,NW-072,-8,OFC-202
CH-0003234,2026-05-31,PR-00043,CV-003,-62,OFC-233
CH-0003235,2026-03-11,PR-01869,CV-001,3,OFC-228
CH-0003236,2026-01-01,PR-02108,CL-091,17,OFC-185
CH-0003237,2026-06-22,PR-01659,SC-011,-39,OFC-216
CH-0003238,2026-02-05,PR-02351,FN-040,0,OFC-126
CH-0003239,2026-06-15,PR-00146,TR-061,-44,OFC-219
CH-0003240,2026-04-19,PR-01091,SC-010,10,OFC-125
CH-0003241,2026-01-21,PR-00014,CL-091,20,OFC-203
CH-0003242,2026-06-25,PR-02873,SC-010,6,OFC-239
CH-0003243,2026-05-27,PR-00574,NW-072,-13,OFC-118
CH-0003244,2026-05-03,PR-01075,CV-020,10,OFC-175
CH-0003245,2026-05-09,PR-02442,AP-080,37,OFC-246
CH-0003246,2026-04-22,PR-01587,SC-011,-39,OFC-179
CH-0003247,2026-05-20,PR-01492,SC-010,7,OFC-208
CH-0003248,2026-05-07,PR-01068,SR-100,-57,OFC-115
CH-0003249,2026-05-01,PR-02591,HE-050,5,OFC-230
CH-0003250,2026-04-12,PR-02141,PR-110,3,OFC-236
CH-0003251,2026-06-21,PR-00868,SC-011,-42,OFC-139
CH-0003252,2026-04-07,PR-02103,SC-012,-18,OFC-231
CH-0003253,2026-03-30,PR-02226,SC-010,8,OFC-138
CH-0003254,2026-01-31,PR-01509,SC-011,-37,OFC-127
CH-0003255,2026-04-24,PR-02022,CV-021,-48,OFC-229
CH-0003256,2026-01-18,PR-01115,CV-003,-57,OFC-178
CH-0003257,2026-06-21,PR-01145,EM-031,-22,OFC-147
CH-0003258,2026-04-19,PR-01462,CV-001,6,OFC-140
CH-0003259,2026-03-29,PR-02384,SR-102,9,OFC-227
CH-0003260,2026-04-10,PR-00049,SR-100,-55,OFC-115
CH-0003261,2026-02-14,PR-00839,CV-001,8,OFC-170
CH-0003262,2026-06-02,PR-02176,SC-010,11,OFC-177
CH-0003263,2026-04-20,PR-01394,CL-091,18,OFC-132
CH-0003264,2026-01-24,PR-02356,SC-013,-76,OFC-121
CH-0003265,2026-06-11,PR-00348,TR-062,4,OFC-145
CH-0003266,2026-04-11,PR-02246,HE-050,6,OFC-185
CH-0003267,2026-01-31,PR-00106,CV-001,6,OFC-102
CH-0003268,2026-02-14,PR-01664,SR-102,6,OFC-122
CH-0003269,2026-04-23,PR-01221,TR-060,3,OFC-128
CH-0003270,2026-05-24,PR-01142,CV-020,14,OFC-200
CH-0003271,2026-06-14,PR-02594,CL-091,20,OFC-218
CH-0003272,2026-06-09,PR-01421,FN-040,4,OFC-181
CH-0003273,2026-05-29,PR-02918,HE-051,-18,OFC-239
CH-0003274,2026-01-11,PR-02835,TR-062,4,OFC-111
CH-0003275,2026-01-24,PR-01346,CV-001,4,OFC-142
CH-0003276,2026-02-12,PR-01773,TR-061,-46,OFC-132
CH-0003277,2026-06-19,PR-01719,SR-102,4,OFC-156
CH-0003278,2026-05-16,PR-01150,AP-081,-6,OFC-220
CH-0003279,2026-06-27,PR-00267,CL-091,18,OFC-217
CH-0003280,2026-06-16,PR-00457,EM-031,-20,OFC-182
CH-0003281,2026-06-30,PR-00268,HE-051,-20,OFC-100
CH-0003282,2026-06-14,PR-00544,FN-041,-11,OFC-139
CH-0003283,2026-02-10,PR-01089,HE-051,-15,OFC-221
CH-0003284,2026-03-30,PR-02264,CV-002,-28,OFC-210
CH-0003285,2026-05-26,PR-02336,HE-051,-20,OFC-246
CH-0003286,2026-02-11,PR-00348,PR-110,5,OFC-230
CH-0003287,2026-03-22,PR-02366,NW-070,13,OFC-242
CH-0003288,2026-06-01,PR-02677,SR-101,-38,OFC-243
CH-0003289,2026-06-09,PR-00150,PR-111,-27,OFC-114
CH-0003290,2026-06-10,PR-00665,TR-060,0,OFC-215
CH-0003291,2026-06-15,PR-01275,FN-041,-9,OFC-141
CH-0003292,2026-03-30,PR-01622,EM-031,-20,OFC-246
CH-0003293,2026-05-17,PR-02069,HE-051,-16,OFC-202
CH-0003294,2026-01-02,PR-01808,TR-062,4,OFC-159
CH-0003295,2026-03-05,PR-02014,CL-090,-10,OFC-158
CH-0003296,2026-03-19,PR-00696,SC-013,-76,OFC-140
CH-0003297,2026-01-10,PR-00951,EM-030,11,OFC-118
CH-0003298,2026-01-26,PR-02366,PR-110,0,OFC-146
CH-0003299,2026-03-28,PR-02829,EM-030,9,OFC-158
CH-0003300,2026-01-03,PR-01000,TR-060,-2,OFC-215
CH-0003301,2026-05-26,PR-01541,SR-101,-41,OFC-147
CH-0003302,2026-04-25,PR-00067,SC-010,6,OFC-152
CH-0003303,2026-06-14,PR-00791,PR-110,5,OFC-174
CH-0003304,2026-05-30,PR-02694,PR-111,-31,OFC-240
CH-0003305,2026-02-02,PR-02699,CV-003,-57,OFC-167
CH-0003306,2026-01-12,PR-01794,SC-011,-40,OFC-185
CH-0003307,2026-05-15,PR-02527,CV-001,7,OFC-103
CH-0003308,2026-04-21,PR-02970,CL-091,15,OFC-119
CH-0003309,2026-05-28,PR-02271,TR-061,-44,OFC-152
CH-0003310,2026-04-18,PR-00328,AP-081,-2,OFC-126
CH-0003311,2026-06-06,PR-00187,NW-070,12,OFC-156
CH-0003312,2026-05-19,PR-01276,HE-050,4,OFC-199
CH-0003313,2026-02-19,PR-00091,TR-060,2,OFC-117
CH-0003314,2026-06-28,PR-02895,PR-111,-31,OFC-190
CH-0003315,2026-01-21,PR-00290,PR-110,3,OFC-245
CH-0003316,2026-01-21,PR-02053,HE-050,3,OFC-159
CH-0003317,2026-06-24,PR-00250,SC-013,-72,OFC-190
CH-0003318,2026-01-18,PR-01652,NW-071,-23,OFC-129
CH-0003319,2026-01-03,PR-01484,CV-001,8,OFC-248
CH-0003320,2026-02-28,PR-00869,SR-102,8,OFC-172
CH-0003321,2026-02-17,PR-00643,PR-110,2,OFC-185
CH-0003322,2026-04-16,PR-00380,PR-110,1,OFC-205
CH-0003323,2026-01-31,PR-01145,SR-102,5,OFC-124
CH-0003324,2026-04-30,PR-02899,FN-040,3,OFC-129
CH-0003325,2026-06-01,PR-00235,PR-110,3,OFC-152
CH-0003326,2026-02-22,PR-02908,HE-051,-17,OFC-216
CH-0003327,2026-03-09,PR-01096,CL-090,-10,OFC-198
CH-0003328,2026-04-04,PR-01937,SR-102,8,OFC-247
CH-0003329,2026-05-27,PR-01584,EM-030,12,OFC-172
CH-0003330,2026-02-15,PR-00467,NW-070,17,OFC-149
CH-0003331,2026-02-15,PR-00447,PR-110,0,OFC-140
CH-0003332,2026-02-15,PR-00393,SR-101,-36,OFC-221
CH-0003333,2026-02-16,PR-01262,CV-001,5,OFC-230
CH-0003334,2026-04-07,PR-00305,AP-080,35,OFC-113
CH-0003335,2026-02-12,PR-90002,HE-051,-16,OFC-123
CH-0003336,2026-02-16,PR-02168,SR-101,-41,OFC-200
CH-0003337,2026-05-13,PR-00845,SC-010,8,OFC-130
CH-0003338,2026-02-13,PR-01274,TR-062,5,OFC-161
CH-0003339,2026-03-21,PR-01620,EM-030,7,OFC-136
CH-0003340,2026-03-01,PR-02348,SR-100,-53,OFC-249
CH-0003341,2026-05-31,PR-00561,SR-101,-35,OFC-193
CH-0003342,2026-01-06,PR-02813,CV-002,-25,OFC-174
CH-0003343,2026-03-14,PR-02146,CV-001,6,OFC-135
CH-0003344,2026-04-28,PR-01003,CV-003,-57,OFC-132
CH-0003345,2026-04-07,PR-02915,PR-110,1,OFC-134
CH-0003346,2026-05-21,PR-02933,AP-080,37,OFC-244
CH-0003347,2026-02-11,PR-01340,SC-013,-77,OFC-232
CH-0003348,2026-03-21,PR-01761,SC-013,-72,OFC-134
CH-0003349,2026-05-14,PR-00692,TR-062,2,OFC-185
CH-0003350,2026-01-02,PR-02935,AP-081,-4,OFC-170
CH-0003351,2026-02-21,PR-02515,HE-050,9,OFC-206
CH-0003352,2026-01-04,PR-02633,AP-081,-2,OFC-243
CH-0003353,2026-02-22,PR-00268,EM-030,13,OFC-101
CH-0003354,2026-03-30,PR-01761,TR-061,-47,OFC-209
CH-0003355,2026-02-17,PR-01606,CL-090,-10,OFC-108
CH-0003356,2026-02-19,PR-01792,CL-091,17,OFC-221
CH-0003357,2026-03-05,PR-01865,AP-080,36,OFC-148
CH-0003358,2026-01-21,PR-02030,TR-062,6,OFC-248
CH-0003359,2026-01-08,PR-00700,PR-110,4,OFC-222
CH-0003360,2026-01-11,PR-02216,FN-041,-10,OFC-158
